SHA256,Category,accelerometer,accelerometer_uncalibrated,ambient_temperature,device_private_base,game_rotation_vector,geomagnetic_rotation_vector,gravity,gyroscope,gyroscope_uncalibrated,heart_beat,heart_rate,hinge_angle,light,linear_acceleration,low_latency_offbody_detect,magnetic_field,magnetic_field_uncalibrated,motion_detect,orientation,pose_6dof,pressure,proximity,relative_humidity,rotation_vector,significant_motion,stationary_detect,step_counter,step_detector,temperature
E0942D298E968E69EEDC0A45CF0B69A50C189C52253D585F3F4EA93171EABC80,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B99E5CBA7FF6829508DE688B9897424B098548750B6DB2198C911C51657AA706,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17B3B21B93F1B0CA88DAA21C6E5E9BFB7C14DAAFD149D2E6CBCB70DBD42B918B,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43737C18281CE5734D6F35CC551AC653ECDFDF66CD6E5B732F77892C2C252D5E,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFFEB02265D6A18ACE26CCB927E718CEE84BA4EF8FCD3CD9F50A7FBD8E4ECA5C,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBEF0866128417C2685B08657289E7076F69EC40E9CB31EC99DA15D49CEDCF72,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D6F74F04793EFDCFD57968E48582DB94BF199BD6F86EDA9314B3D3504A61F343,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FA4BA16B0E52C1332A281FA96A6531C1591B23AE80AFBE6DBEA920710CC48691,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1862810F4ED33C6EA32D0CFD2CE5B51043D0F4BF92BAB71E1E9209370E70288B,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F0DAAA26F2943E4D6196BBC248260B53626AA2982A87EFB3D4F458A86DD35A3C,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05F11FB1CD0D844FDBA664B661C47991787CC7915E6D8E1B9D2035B0B5938139,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09158A42DE51C465991388E1A98D5469E6ED8C0675E184C6C5FA061B3F5F1ADB,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2E0F89DA1421615FD53C0439156DC214EF57FE61F42E6F525C76719BCF3DCD7D,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
F1A9131094DE5D3CF6CB11D05495166ECDD1AF073AC6CFB6B7B9BC05FC835181,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DADCDF0399FB1082825202B85A39414B1708A4274713D655985BEEE91281FF2F,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C685873FBD8306188E7DC8BBE3E90632AB092CDF9F0D69E33E1FC0B7ED04410F,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBB251ED9EC0C8B3BC1E5CA87DA314471F7555AEE5BA95D84D6238607F7A68DD,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E60A2083B2CBE3A0BCC5EC042933DEE366420772BB46F4B5D1C1301389AE7A15,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9F3B824730A3ED95BB1EFBE3079EA48121B4FC2D1076791E26F231097BE203C1,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4387F2E9C1751F354C30913673A679775193D49877FA113E4513B48940652AC4,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69906712F710A4690369A4882FF479B7D5FD6DD5ABFB4C21E24B6A38C997225A,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEAB78FDDC89CCE53888DE6DF387C27965336890C3FB18953A0FDC67B0BB436C,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7F7EAF845332DA0D3FFBB2C38EE74D2304B1A4871A8F7BC88EAAB408D6836325,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
